"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"C11ORF30"	0.685	1.02933911609637	0.37	0.618	0.262
"TANC1/2"	0.319	-1.12535733443447	0.362	0.312	0.569
"BTB-17"	0.319	-1.61368971916548	0.362	0.243	0.569
"HSD17B7"	0.68	1.08402108762387	0.36	0.653	0.338
"KH2013:KH.C5.637_SLC35E3"	0.679	1.04011971456888	0.358	0.59	0.277
"ABI3BP"	0.679	1.14184745309113	0.358	0.646	0.338
"IP6K1/2/3"	0.678	1.025785965555	0.356	0.514	0.169
"KH2013:KH.C1.33_CG13759"	0.676	1.02869814448136	0.352	0.583	0.231
"TDRD7"	0.676	1.09186924744601	0.352	0.542	0.215
"KH2013:KH.C7.476_CHRNB1"	0.675	1.36431868210725	0.35	0.535	0.231
"KH2013:KH.C7.695_CYP24A1"	0.325	-1.19619838514103	0.35	0.299	0.6
"FAM122B"	0.674	1.02349246707013	0.348	0.562	0.262
"SBDS"	0.67	1.03537395537181	0.34	0.618	0.323
"SLC25A44"	0.67	1.04095474066806	0.34	0.562	0.215
"KH2013:KH.S735.2_EPN1/2"	0.331	-1.01089035096295	0.338	0.438	0.662
"KH2013:KH.C11.322_SLC17A5"	0.337	-1.25128832671084	0.326	0.465	0.569
"KH2013:KH.C6.222"	0.66	1.05970847919722	0.32	0.535	0.215
"ACACA"	0.343	-1.20362507269709	0.314	0.264	0.538
"KH2013:KH.L144.11"	0.343	-1.42486790423505	0.314	0.34	0.585
"SREBF1/2"	0.345	-1.19299228676972	0.31	0.458	0.662
"KH2013:KH.C8.649_ACTA1/2"	0.652	1.31106991743087	0.304	0.757	0.6
"MICALL1/2"	0.644	2.91636353488601	0.288	0.514	0.246
"RHOU"	0.357	-1.0644517735918	0.286	0.375	0.585
"CASKIN1/2"	0.359	-1.15793745761445	0.282	0.312	0.554
"KH2013:KH.C2.668_SLC38A9"	0.362	-1.17229519325839	0.276	0.34	0.523
"GGT1/2"	0.363	-1.68837909248848	0.274	0.354	0.523
"CADM1/2/3/4"	0.364	-1.24577023097517	0.272	0.361	0.538
"KH2013:KH.C2.204_PDLIM5/7"	0.378	-1.0264792657948	0.244	0.41	0.554
"Ci-Actin;"	0.621	1.03382870981699	0.242	0.812	0.831
"BAHD1"	0.383	-1.03633502189167	0.234	0.389	0.508
"KH2013:KH.C5.129"	0.384	-1.11028900849784	0.232	0.403	0.508
"KH2013:KH.C1.421_ABAT"	0.391	-1.11996086831244	0.218	0.375	0.538
"NTAN1"	0.58	1.35075797053797	0.16	0.903	0.769
"PSMD14"	0.446	4.09666124481237	0.108	0.924	0.938
"SMEK1/2"	0.491	-1.31515024837289	0.018	0.674	0.6
